frame,cell_count,timestamp,density,density_per_1000px,growth_rate,per_capita_growth_rate,avg_speed,avg_direction
0,10,0.08708524703979492,1.0850694444444445e-05,0.010850694444444444,0.0,0.0,0.0,0.0
1,17,0.1700143814086914,1.8446180555555556e-05,0.018446180555555556,84.40941839404307,4.965259905531945,6.074661621202343,27.453562504098073
2,17,0.21758127212524414,1.8446180555555556e-05,0.018446180555555556,53.641480615339646,3.155381212667038,8.32049360039162,16.318789089165573
3,19,0.26261448860168457,2.0616319444444445e-05,0.020616319444444444,21.598247136276914,1.1367498492777324,7.212403793898761,2.63121719219358
4,23,0.3052825927734375,2.4956597222222224e-05,0.024956597222222224,68.41402108491053,2.9745226558656754,7.458633814588467,10.416211470243217
5,23,0.34845662117004395,2.4956597222222224e-05,0.024956597222222224,46.597164822468116,2.0259636879333964,8.661826762835373,-6.46216923951734
6,24,0.3921670913696289,2.604166666666667e-05,0.026041666666666668,11.509532956478788,0.47956387318661614,9.194982249419343,-10.320369883016879
7,25,0.4389204978942871,2.712673611111111e-05,0.02712673611111111,22.1082720796557,0.884330883186228,9.476753712886065,-18.540840301174377
8,27,0.48108744621276855,2.9296875e-05,0.029296875,33.738056998222326,1.249557666600827,8.589086216777456,-12.904187552140407
9,27,0.5211665630340576,2.9296875e-05,0.029296875,24.31727276680243,0.9006397321037937,10.031838029988485,-1.6435345117378688
10,27,0.5621001720428467,2.9296875e-05,0.029296875,0.0,0.0,8.610691673337715,-4.931464949228244
11,27,0.6008844375610352,2.9296875e-05,0.029296875,0.0,0.0,10.406828170072297,18.886555576264037
12,28,0.6384670734405518,3.0381944444444444e-05,0.030381944444444444,13.094678213957902,0.46766707906992505,8.565368122629428,7.225226486266515
13,28,0.6770493984222412,3.0381944444444444e-05,0.030381944444444444,13.129396886611428,0.46890703166469383,12.26197253140988,-24.19013360838637
14,29,0.7138829231262207,3.146701388888889e-05,0.03146701388888889,13.259812150469308,0.457234901740321,13.963017646886666,11.377750627913825
15,29,0.7529728412628174,3.146701388888889e-05,0.03146701388888889,13.171162457685133,0.454178015782246,12.905047241133914,35.153097555902754
16,29,0.7907896041870117,3.146701388888889e-05,0.03146701388888889,0.0,0.0,10.077895353618043,15.841433862817457
17,32,0.8270037174224854,3.472222222222222e-05,0.034722222222222224,40.52363224135932,1.2663635075424788,9.871102437087329,-7.990143271918207
18,32,0.8642539978027344,3.472222222222222e-05,0.034722222222222224,40.83610919995326,1.2761284124985395,12.2195912719917,6.131477364693593
19,32,0.9064311981201172,3.472222222222222e-05,0.034722222222222224,0.0,0.0,14.026073778769607,12.792989190183137
